ISIC,uniq_RP,diff_act,CoV
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",linseed,3,0.061720844
"0111:Growing of cereals (except rice), leguminous crops and oil seeds","maize grain, feed",3,0.061192783
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",oat grain,4,0.19562808
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",peanut,4,0.599419967
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",protein pea,4,0.657397913
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",sweet corn,4,0.273547856
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",barley grain,5,0.252068987
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",rape seed,6,0.338610156
"0111:Growing of cereals (except rice), leguminous crops and oil seeds","straw, organic",6,0.039882939
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",sunflower seed,6,0.680491304
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",soybean,11,0.96124001
"0111:Growing of cereals (except rice), leguminous crops and oil seeds",maize grain,13,0.531810249
0112:Growing of rice,"rice, non-basmati",4,0.402990152
"0113:Growing of vegetables and melons, roots and tubers",aubergine,3,1.566551083
"0113:Growing of vegetables and melons, roots and tubers",cabbage white,3,0.5124147
"0113:Growing of vegetables and melons, roots and tubers",bell pepper,4,0.706410443
"0113:Growing of vegetables and melons, roots and tubers",carrot,4,0.230856162
"0113:Growing of vegetables and melons, roots and tubers",white asparagus,4,0.873378148
"0113:Growing of vegetables and melons, roots and tubers",onion,5,0.419197478
"0113:Growing of vegetables and melons, roots and tubers",potato,7,0.310331814
"0113:Growing of vegetables and melons, roots and tubers","tomato, fresh grade",8,0.987313117
0114:Growing of sugar cane,sugarcane,9,1.517831427
0116:Growing of fibre crops,seed-cotton,3,0.575290922
0116:Growing of fibre crops,"jute plant, harvested",4,0.563890903
0119:Growing of other non-perennial crops,"grass, Swiss integrated production",3,0.466873198
0119:Growing of other non-perennial crops,"grass, organic",6,0.370034575
0122:Growing of tropical and subtropical fruits,banana,5,0.622634867
0123:Growing of citrus fruits,"orange, processing grade",3,0.124124236
0123:Growing of citrus fruits,lemon,4,1.11840186
0123:Growing of citrus fruits,mandarin,4,0.893030974
0123:Growing of citrus fruits,"orange, fresh grade",4,0.372145869
0124:Growing of pome fruits and stone fruits,peach,4,0.582898324
0124:Growing of pome fruits and stone fruits,apricot,5,0.239560303
0124:Growing of pome fruits and stone fruits,pear,5,0.738472675
0124:Growing of pome fruits and stone fruits,apple,6,0.781984455
