ID,Title,Journal,DOI,included,data_state,primary_available,primary_how,secondary_available,secondary_source,secondary_how,can_access_data,analysis_state,analysis_tool,analysis_available,analysis_how,can_access_analysis
1,Stormwater management for highly urbanized areas in the tropics: Life cycle assessment of low impact development practices,Journal of Hydrology,10.1016/j.jhydrol.2021.126409,"Yes, process-based environmental LCA on a defined functional unit","Life cycle inventory was modeled in the GaBi software, version 6.0, and was based on the urban planning, architecture, and engineering plans of each designed scenario. ... . In addition, primary data from the LID controls already installed and in operation at the UFSCar were used, as well as bibliographic sources and data from the Ecoinvent 3.3 (Ecoinvent, 2018) and GaBi databases (Thinkstep, 2018).","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.3; GaBi ,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
2,"Environmental impacts of a rice-beef-biogas integrated system in the Mekong Delta, Vietnam evaluated by life cycle assessment",Journal of Environmental Management,10.1016/j.jenvman.2021.112900,"Yes, process-based environmental LCA on a defined functional unit","The data collection for the model was based on our site investigations, published studies, and LCA software databases…  We thus used the Thai National Life Cycle Inventory Database (TLCID) (MTEC, 2012), a database of Thailand, another Southeast Asian country, and when data for materials were lacking in the database, we used the database of the LCA software program MiLCA (JEMAI, 2012). The inventory data for pesticide production were taken from the Ecoinvent database (Hischier et al., 2010).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,various sources,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
3,Less refined ingredients have lower environmental impact – A life cycle assessment of protein-rich ingredients from oil- and starch-bearing crops,Journal of Cleaner Production,10.1016/j.jclepro.2021.126046,"Yes, process-based environmental LCA on a defined functional unit",3. Life cycle inventory,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Agri-footprint 5.0,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",the modelled fractionation processes using Simapro LCA software version 9.0 ,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
4,Improving sustainability and mitigating environmental impacts of agro-biowaste compost fertilizer by pelletizing-drying,Environmental Pollution,10.1016/j.envpol.2021.117412,"Yes, process-based environmental LCA on a defined functional unit","All inputs and emissions were determined based on 1 ton of the agro-biowaste compost. Table 3 tabulates the inputs and emissions of both biofertilizers. …  The values of the mentioned emissions were calculated by the equations and assumptions presented in IPCC, 2006 and Nemecek and Kagi (2007)","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,various sources,NA,NA,The IMPACT 2002+ method was applied herein based on the database included in SimaPro software.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
5,Process screening framework for the synthesis of process networks from a circular economy perspective,"Resources, Conservation and Recycling",10.1016/j.resconrec.2020.105147,"Yes, process-based environmental LCA on a defined functional unit","Table 2. Transformation processes, reference, and main products. ...  Table S4 gives the environmental impacts for transformation processes by performing gate-to-gate life cycle assessments following the ReCiPe 2016 method (Huijbregts et al., 2017). The endpoint indicators (i.e., impact on human health, environment, and resource scarcity) permit to evaluate the environmental impacts. Inventories are built gathering material and energy balances information from flowsheet simulations, considering a ton of material processed as a functional unit. The entries beyond the boundaries of the system were retrieved from the Ecoinvent database v3.4 (Wernet et al., 2016), accessed via SimaPro.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.4,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
6,Technical optimization and life cycle assessment of environment-friendly superplasticizer for concrete engineering,Chemosphere,10.1016/j.chemosphere.2021.130955,"Yes, process-based environmental LCA on a defined functional unit","The inventory data for all the scenarios were collected from publications, national environmental protection departments, literature, available databases, engineering calculations based on process technology, and data that was provided by companies supplying raw materials.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",various sources,"Direct presentation in the article (e.g., tables)","Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
7,"Poultry litter stabilization by two-stage composting-vermicomposting process: Environmental, energetic and economic performance",Chemosphere,10.1016/j.chemosphere.2021.130872,"Yes, process-based environmental LCA on a defined functional unit","2.1.4. Inventory data  Annual inventory of two alternatives here proposed can be seen in Table 1.  …  For diesel consumption during feedstock and fertilizer land transport, data obtained from Simapro® and the Ecoinvent V.3 database for transport in a freight lorry. ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3,"Direct presentation in the article (e.g., tables)","Yes, can access, download, and open the file. ",The LCA was performed using the SimaPro® V.8 software with Ecoinvent database V.3,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
8,"Towards sustainable consumption of legumes: How origin, processing and transport affect the environmental impact of pulses",Sustainable Production and Consumption,10.1016/j.spc.2021.01.017,"Yes, process-based environmental LCA on a defined functional unit","Ecoinvent v3.6 was used as database. The LCI involves an inventory of the input and output data of the studied processes (Fig. 1 and Fig. 2) by primary and/or secondary data, i.e., through measurements or literature review, respectively (Edelen and Ingwersen, 2016). In this work, Aspen Plus® was used to determine some relevant LCI data, ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.6,"Direct presentation in the article (e.g., tables)","Yes, can access, download, and open the file. ",… using Umberto LCA+ as software ,Umberto,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
9,Mining Impacts Assessment Using the LCA Methodology: Case Study of Afema Gold Mine in Ivory Coast,Integrated Environmental Assessment and Management,10.1002/ieam.4336,"Yes, process-based environmental LCA on a defined functional unit","Statement: ""Data Availability Statement: Data and associated metadata and calculation tools are available upon request by contacting corresponding author Kouadio Assemien François Yao (kouadioyao.assemien@gmail.com).""   IN Data collection and main assumptions: … Secondary LCI data were mining literature data (Reid et al. 2009) that were used as proxies. When the available information was incomplete (e.g., energy and explosive consumption), we estimated based on the quantities used in typical mines (Tanzania and Papua New Guinea) included in Ecoinvent data (Ecoinvent V3.3) ... he electricity used on the site was hydroelectric (hydroelectric dam built on a river). However, given the absence of the Ivorian energy mix in the Ecoinvent database, we used the “electricity, high voltage {RoW}?|?electricity production, hydro, run-of-river,|” ",Other: note in comment box,NA,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.3,"Direct presentation in the article (e.g., tables)",NA,Environmental modeling was performed using the SimaPro 8.3 software pack,SimaPro,"Other, note in comment box",NA,NA
10,Life Cycle Assessment of Urine Diversion and Conversion to Fertilizer Products at the City Scale,Environmental Science and Technology,10.1021/acs.est.0c04195,"Yes, process-based environmental LCA on a defined functional unit",Table 1. List of Important Inputs Used to Model Urine Collection and Fertilizer Productiona … Table S6. List of inputs used to model the life cycle assessment. … Table S8. List of data sources used to quantify environmental impacts.,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,USLCI; Ecoinvent; GREET; Agri-footprint,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ","The Excel plugin Simvoi was used to conduct a Monte Carlo analysis with 10,000 repetitions for each sensitivity scenario.(111)",Excel,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
